Valeur de calcul;;;;;;Formules de calcul;;;;Entrées;;;;;
valeur;valeur numérique;Incertitude;Commentaire;;;Valeur;Formules;Commentaire;;Valeur;Valeur par défault;Niveau;Type;Commentaire;
fe_sulf_alu;128;30;;;;ref Général boue;;;;transp_poly;50;;réel;km;
fe_sulf_sod;473;100;;;;FEobj10;FEobj10_te;;;tau_capture;0.95;;réel;;
fe_uree;4253;30;Attention ici faudrait vérifier ce qu'implique l'asterix dans le guide de l'astee (est ce qu'il faut multiplier par 2 ?);;;FEobj50;FEobj50_te;;;;;;;;
fe_fecl3;330;30;;;;FEobj100;FEobj100_te;;;;;;;;
fe_co2l;50;30;;;;co2_e;q_poly*FEpolymere + transp_poly*FEtransp/1000*q_poly;;;;;;;;
fe_coagl;460;30;;;;Welec;Welec_te*TBsortant;;;;;;;;
fe_javel;920;100;;;;Grilles d'égouttage;;;;;;;;;Point
fe_lait;241;30;Lait de chaux;;;ref Général;;;;q_poly;;6;réel;kg/tMS de polymère active ajouté;
;;;;;;ref Général boue;;;;transp_poly;50;;réel;km;
;;;;;;FEobj10;FEobj10_ge;;;tau_capture;0.95;;réel;;
;;;;;;FEobj50;FEobj50_ge;;;;;;;;
;;;;;;FEobj100;FEobj100_ge;;;;;;;;
;;;;;;co2_e;q_poly*FEpolymere + transp_poly*FEtransp/1000*q_poly;;;;;;;;
FEtraitement_e;0.39;50;kgCO2eq/m3;;;Welec;Welec_ge*TBsortant;;;;;;;;
FEtraitement_c;0.03;50;kgCO2eq/m3;;;Epaississement statique;;;;;;;;;Point
;;;;;;ref Général;;;;tau_capture;0.95;;réel;;
FEdec_bet;1.21;20;kgCO2eq/t [13];;;ref Général boue;;;;d_vie;30;;;;
FEdec_met;4.31;20;kgCO2eq/t [13];;;FEobj10;FEobj10_es;;;;;;;;
FEdec_inerte;5.58;14;kgCO2eq/t [13];;;FEobj50;FEobj50_es;;;;;;;;
FEdec_bois;5.12;18;kgCO2eq/t [13];;;FEobj100;FEobj100_es;;;;;;;;
FEdec_platre;15.69;16;kgCO2eq/t [13];;;Welec;Welec_es*TBsortant;;;;;;;;
FEdec_nd;22.04;20;kgCO2eq/t [13];;;;;;;;;;;;
FEdec_surface;40;0;kgcO2eq/m2 [14];;;Flottateur;;;;;;;;;Point
;;;;;;ref Général;;;;q_poly;;6;réel;kg/tMS de polymère active ajouté;
methode (Biofiltres);4.5;0;kgCO2eq/kgDBO5 eliminé [3] demandé données pour incertitude ;;;ref Général boue;;;;transp_poly;50;;réel;km;
methode (SBR);4.6;0;kgCO2eq/kgDBO5 eliminé [3];;;FEobj10;FEobj10_flot;;;tau_capture;0.9;;réel;;
methode (Boues activées);3.2;0;kgCO2eq/kgDBO5 eliminé [3];;;FEobj50;FEobj50_flot;;;d_vie;30;;;;
methode (MBBR);6.5;0;kgCO2eq/kgDBO5 eliminé [3];;;FEobj100;FEobj100_flot;;;;;;;;
methode (BRM);6.8;0;kgCO2eq/kgDBO5 eliminé [3];;;co2_e;q_poly*FEpolymere + transp_poly*FEtransp/1000*q_poly;;;;;;;;
;;;;;;Welec;Welec_flot*TBsortant;;;;;;;;
;;;;;;Centrifugeuse pour épaississement;;;;;;;;;Point
;;;;;;ref Général;;;;q_poly;;6;réel;kg/tMS de polymère active ajouté;
;;;;;;ref Général boue;;;;transp_poly;50;;réel;km;
;;;;;;FEobj10;FEobj10_ce;;;tau_capture;0.85;;réel;;
;;;;;;FEobj50;FEobj50_ce;;;;;;;;
;;;;;;FEobj100;FEobj100_ce;;;;;;;;
;;;;;;co2_e;q_poly*FEpolymere + transp_poly*FEtransp/1000*q_poly;;;;;;;;
;;;;;;Welec;Welec_ce*TBsortant;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Centrifugeuse pour déshydratation;;;;;;;;;Point
;;;;;;ref Général;;;;q_poly;;6;réel;kg/tMS de polymère active ajouté;
;;;;;;ref Général boue;;;;transp_poly;50;;réel;km;
;;;;;;FEobj10;FEobj10_cd;;;tau_capture;0.95;;réel;;
;;;;;;FEobj50;FEobj50_cd;;;direct ;0;;booléen;La centrifugeuse est elle directe ? ie déshydratation et  épaississement;
;;;;;;FEobj100;FEobj100_cd;;;;;;;;
;;;;;;co2_e;q_poly*FEpolymere + transp_poly*FEtransp/1000*q_poly;;;;;;;;
;;;;;;Welec;Welec_cd*TBsortant*(1-direct) + direct*TBsortant*Welec_direct;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Filtre à bande;;;;;;;;;Point
;;;;;;ref Général;;;;q_poly;;6;réel;kg/tMS de polymère active ajouté;
;;;;;;ref Général boue;;;;transp_poly;50;;réel;km;
;;;;;;FEobj10;FEobj10_fb;;;tau_capture;0.95;;réel;;
;;;;;;FEobj50;FEobj50_fb;;;;;;;;
;;;;;;FEobj100;FEobj100_fb;;;;;;;;
;;;;;;co2_e;q_poly*FEpolymere + transp_poly*FEtransp/1000*q_poly;;;;;;;;
;;;;;;Welec;Welec_ce*TBsortant;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Filtre à presse;;;;;;;;;Point
;;;;;;ref Général;;;;q_poly;;6;réel;kg/tMS de polymère active ajouté;
;;;;;;ref Général boue;;;;transp_poly;50;;réel;km;
;;;;;;FEobj10;FEobj10_fp;;;tau_capture;0.98;;réel;;
;;;;;;FEobj50;FEobj50_fp;;;q_fecl3;;6;réel;Tous les intrants, y'a des valeurs proposé, mais pour l'instant on met que ça;
;;;;;;FEobj100;FEobj100_fp;;;q_chaux;;6;réel;;
;;;;;;co2_e;q_poly*FEpolymere + transp_poly*FEtransp/1000*q_poly + q_fecl3*(FEfecl3+transp_fecl3*FEtransp/1000) +  q_chaux*(FEchaux+transp_chaux*FEtransp/1000);;;transp_fecl3;;6;réel;;
;;;;;;Welec;Welec_ce*TBsortant;;;transp_chaux;;6;réel;;
;;;;;;;;;;;;;;;
;;;;;;LSPR;;;;;;;;;Point
;;;;;;n2o_e;FE_lspr_n2o*EH;;;EH;;1;réel;;
;;;;;;ch4_e;FE_lspr_ch4*EH;;;d_vie;30;;;;
;;;;;;;Faudrait rajouter le transport et terrassement tous les 5 ans ;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Digesteur / Méthaniseur;;;;;;;;;Point
;;;;;;ref Général;;;;Vbiogaz;;4;réel;Volume de biogaz produit;
;;;;;;ref Général boue;;;;tau_abattement;0.4;;réel;tau de diminution de matière organique;
;;;;;;co2_c;FEobj_dan*Vbiogaz;;;d_vie;30;;;;
;;;;;;Vbiogaz;225*TBsortant;;;;;;;;
;;;;;;Welec;Welec_dan*TBsortant;;;;;;;;
;;;;;;ch4_e;vol_ms*tau_fuite*TBsortant;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Digesteur aérobie;;;;;;;;;Point
;;;;;;ref Général;;;;tau_abattement;35;;réel;;
;;;;;;ref Général boue;;;;d_vie;30;;;;
;;;;;;FEobj10;FEobj10_da;;;;;;;;
;;;;;;FEobj50;FEobj50_da;;;;;;;;
;;;;;;FEobj100;FEobj100_da;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Welec;Welec_da*TBsortant;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Chaulage;;;;;;;;;Point
;;;;;;ref Général;;;;q_chaux;;6;réel;kg/tMS/an de chaux vive ajouté;
;;;;;;ref Général boue;;;;transp_chaux;50;;réel;km;
;;;;;;FEobj10;FEobj10_ch;;;tau_capture;1.38;;réel;Augmentation de la quantité de boue ;
;;;;;;FEobj50;FEobj50_ch;;;tau_chaux;0.29;;;;
;;;;;;FEobj100;FEobj100_ch;;;;;;;;
;;;;;;co2_e;q_chaux*FEchaux + transp_chaux*FEtransp/1000*q_chaux;;;;;;;;
;;;;;;Welec;Welec_ce*TBsortant;;;;;;;;
;;;;;;q_chaux;taux_chaux*TBsortant;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Compostage;;;;;;;;;Point
;;;;;;ref Général;;;;d_vie;25;;;;
;;;;;;ref Général boue;;;;;;;;;
;;;;;;co2_c;FEcompost*TBentrant;;;;;;;;
;;;;;;ch4_e;ch4_compost*TBsortant;;;;;;;;
;;;;;;n2o_e;n2o_compost*TBsortant;;;;;;;;
;;;;;;co2_e;FEgazole*gazole_compost*TBsortant;Je ne suis pas sûr de si ça se passe bien dans la step mais je crois que si ;;;;;;;
;;;;;;Welec;Welec_compost*TBsortant;;;;;;;;
;;;;;;;;On ne traite pas du transport ici;;;;;;;
;;;;;;Séchage thermique;;;;;;;;;Point
;;;;;;ref Général;;;;siccite_e;;3;;;
;;;;;;ref Général boue;;;;siccite_s;;3;;;
;;;;;;FEobj_eh;FEobj50*(EH>10000)*(EH<100000) + FEobj100*(EH>100000);;;tee;;4;;tonne d'eau évaporé par an;
;;;;;;FEobj50;FEobj50_st;;;pelletisation;0;;booléen;Avec ou sans atelier de pelletisation;
;;;;;;FEobj100;FEobj100_st;;;;;;;;
;;;;;;tee;(siccite_e-siccite_s)*TBsortant;t/an;;;;;;;
;;;;;;Welec ;(Welec_st_pell*pelletisation+(1-pelletisation)*Welec_st_nopell)*TBsortant + Eth;;;;;;;;
;;;;;;;;Combustion;;;;;;;
;;;;;;Eth;Pth*tee*(Nbjour*24);kWh/an Pour l'instant on a une chaudière électrique mais faudrait améliorer l'approximation quand même;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Séchage solaire;;;;;;;;;Point
;;;;;;ref Général;;;;siccite_e;;3;;;
;;;;;;ref Général boue;;;;siccite_s;;3;;;
;;;;;;FEobj_eh;FEobj50*(EH>10000)*(EH<100000) + FEobj100*(EH>100000);;;tee;;4;;;
;;;;;;FEobj50;FEobj50_ss;;;d_vie;30;;;;
;;;;;;FEobj100;FEobj100_ss;;;;;;;;
;;;;;;tee;(siccite_e-siccite_s)*TBsortant;;;;;;;;
;;;;;;Welec;Welec_ss*tee;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Bâtiment d'exploitation;;;;;;;;;Polygon
;;;;;;co2_c;FEexpl*S;;;S;;6;;m2;
;;;;;;co2_e;FEelec*Welec;;;Welec;;6;;kWh/an;
;;;;;;;;;;FEexpl;;6;list;;
;;;;;;Clôture;;;;;;;;;LineString
;;;;;;co2_c;FEclot*ml;;;ml ;;2;;Mètre linéique ;
;;;;;;;;;;;;;;;
;;;;;;Voirie;;;;;;;;;LineString
;;;;;;co2_c;FEvoirie*Vbitume*rhobit;;;S;;2;;m2;
;;;;;;Vbitume;ebit*S;;;ebit;0.08;;;m;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Canalisation;;;;;;;;;LineString
;;;;;;co2_c;ml*diam;;;mat;;1;list;;
;;;;;;co2_e;;;;ml;;1;réel;;
;;;;;;;;;;d_vie;;1;list;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;tranche;;5;list;;
;;;;;;;;;;urbain;;1;list;;
;;;;;;;;;;diam;;1;list;;
;;;;;;;;;;;;;;;
;;;;;;Pompe;;;;;;;;;Point
;;;;;;co2_c;FEpoids*mpompe;;;mpompe;;5;réel;Masse de la pompe (kg);
;;;;;;co2_e;FEelec*Welec;;;Welec;;6;réel;Consommation électrique à l'année (kwh);
;;;;;;;;;;;;;;;
;;;;;;Poste de refoulement;;;;;;;;;Point
;;;;;;co2_c;FEpoids*mpompe;;;mpompe;;5;réel;Masse de la pompe (kg);
;;;;;;co2_e;FEelec*Welec;;;Welec;;6;réel;Consommation électrique à l'année (kwh);
;;;;;;;;;;;;;;;
;;;;;;Station de pompage;;;;;;;;;Point
;;;;;;co2_e;Felec*Welec;;;nbpompe;;;entier;;
;;;;;;ref Bassin cylindrique;;;;Welec;;6;réel;;
;;;;;;;;;;;;;;;
;;;;;;Chateau d'eau;;;;;;;;;Point
;;;;;;co2_c;FEpoids*mpompe + FEbet*rhobet*Vbet;;;mpompe;;5;réel;;
;;;;;;co2_e;Felec*Welec;;;Vbet;;5;réel;;
;;;;;;;;;;Welec;;6;réel;;
;;;;;;;;;;;;;;;
;;;;;;Excavation;;;;;;;;;Point
;;;;;;co2_c;Vterre*rhoterre*FEevac + Vterre*cad*FEpelle;;;Vterre;;5;réel;Volume de terre (m3);
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Branchement;;;;;;;;;LineString
;;;;;;co2_c;FEbranche*ml;;;ml;;1;;;
;;;;;;co2_e;tau_reparation*ml*(FErep_branche_t*terrassement + FErep_branche(1-terrassement);;;taux_reparation;;1;;taux de réparation /an;
;;;;;;;;;;terrassement;1;;booleen;Avec ou sans terrassement;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Filière boue;;;;;;;;;Polygon
;;;;;;ref Général;;;;;;;;;
;;;;;;ref Général boue;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Filière eau;;;;;;;;;Polygon
;;;;;;ref Général;;;;methode;;1;list;;
;;;;;;ref Général eau;;;;;;;;;
;;;;;;Welec;methode*dbo5elim;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;Usine ;;;;;;;;;Polygon
;;;;;;co2_c;FEtraitement_c*Qe*Nbjour/d_vie;;;EH;;1;;;
;;;;;;co2_e;FEtraitement_e*Qe*Nbjour;;;;;;;;
;;;;;;ref Général;;;;d_vie;1;;;;
;;;;;;Déconstruction ;;;;;;;;;Point
;;;;;;co2_c;FEdec_surface*S;;;tbet;;5;réel;Tonne de béton valorisé;
;;;;;;;;;;tmet;;5;;Tonne de métaux valorisé;
;;;;;;;;;;tinert;;5;;Tonne de déchets inertes en mélange valorisé;
;;;;;;;;;;tnd;;5;;Tonne de déchets non dangereux en mélange valorisé;
;;;;;;;;;;tbois;;5;;;
;;;;;;;;;;tplatre;;5;;;
;;;;;;;;;;tau_met;;;;;
;;;;;;;;;;tau_bet;;;;;
;;;;;;;;;;tau_inert;;;;;
;;;;;;;;;;tau_nd;;;;;
;;;;;;;;;;tau_bois;;;;;
;;;;;;;;;;tau_platre;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;S;;1;réel;Surface de déconstruction;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;; ;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
